episode_id,step,commanded_vx,pitch,roll,omega_x,omega_y,sin_phase,cos_phase,fall_detected
0,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
0,100,0.2,0.0559,0.0165,0.0064,0.1366,0.9999,-0.0157,False
0,200,0.2,0.0687,-0.0442,0.4656,-0.0254,-0.0157,-0.9999,False
0,300,0.2,0.0611,-0.0707,-0.0926,-0.0703,-0.9999,0.0157,False
0,400,0.2,0.046,0.0119,-0.7809,-0.0645,0.0157,0.9999,False
0,500,0.2,0.0488,0.0607,-0.0007,0.0461,0.9999,-0.0157,False
0,600,0.2,0.0495,-0.0053,0.8966,-0.2024,-0.0157,-0.9999,False
0,700,0.2,0.0386,-0.0609,0.0178,-0.0129,-0.9999,0.0157,False
0,800,0.2,0.0371,-0.0043,-0.7084,-0.0461,0.0157,0.9999,False
0,900,0.2,0.0447,0.0548,-0.0227,0.0603,0.9999,-0.0157,False
0,1000,0.2,0.0493,-0.007,0.8718,-0.1809,-0.0157,-0.9999,False
0,1100,0.2,0.0393,-0.0593,0.0122,-0.0158,-0.9999,0.0157,False
0,1200,0.2,0.0366,-0.0019,-0.7191,-0.0549,0.0157,0.9999,False
0,1300,0.2,0.0439,0.0554,-0.0158,0.064,0.9999,-0.0157,False
0,1400,0.2,0.0495,-0.0076,0.8802,-0.1767,-0.0157,-0.9999,False
0,1500,0.2,0.0399,-0.0596,0.0098,-0.0184,-0.9999,0.0157,False
0,1600,0.2,0.0366,-0.002,-0.7189,-0.0567,0.0157,0.9999,False
0,1700,0.2,0.0438,0.0556,-0.0155,0.0647,0.9999,-0.0157,False
0,1800,0.2,0.0495,-0.0075,0.881,-0.1752,-0.0157,-0.9999,False
0,1900,0.2,0.04,-0.0596,0.0099,-0.0186,-0.9999,0.0157,False
0,2000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
0,2100,0.2,0.0439,0.0556,-0.0155,0.0646,0.9999,-0.0157,False
0,2200,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
