episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,f,timeout,10.0
1,0.2,f,timeout,10.0
2,0.2,f,timeout,10.0
3,0.2,f,timeout,10.0
4,0.2,f,timeout,10.0
5,0.4,f,timeout,10.0
6,0.4,f,timeout,10.0
7,0.4,f,timeout,10.0
8,0.4,f,timeout,10.0
9,0.4,f,timeout,10.0
10,0.6,f,fall,6.112
11,0.6,f,fall,6.002
12,0.6,f,fall,6.234
13,0.6,f,timeout,10.0
14,0.6,f,timeout,10.0
15,0.8,f,fall,4.73
16,0.8,f,fall,3.874
17,0.8,f,fall,0.98
18,0.8,f,fall,5.16
19,0.8,f,timeout,10.0
20,1.0,f,fall,4.45
21,1.0,f,timeout,10.0
22,1.0,f,fall,3.528
