episode_id,step,commanded_vx,pitch,roll,omega_x,omega_y,sin_phase,cos_phase,fall_detected
0,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
0,100,0.2,0.0308,0.028,-0.0668,0.1244,0.9999,-0.0157,False
0,200,0.2,0.0478,-0.0296,0.6479,-0.034,-0.0157,-0.9999,False
0,300,0.2,0.0402,-0.0594,-0.0342,-0.0467,-0.9999,0.0157,False
0,400,0.2,0.0312,0.0191,-0.5648,-0.0794,0.0157,0.9999,False
0,500,0.2,0.0293,0.0595,0.04,0.0327,0.9999,-0.0157,False
0,600,0.2,0.038,-0.0096,0.8605,-0.1107,-0.0157,-0.9999,False
0,700,0.2,0.0299,-0.0582,0.0641,-0.0214,-0.9999,0.0157,False
0,800,0.2,0.0276,-0.0056,-0.7769,-0.0756,0.0157,0.9999,False
0,900,0.2,0.0275,0.0447,-0.0013,0.0532,0.9999,-0.0157,False
0,1000,0.2,0.0401,-0.0191,0.808,-0.0778,-0.0157,-0.9999,False
0,1100,0.2,0.0324,-0.0595,0.0375,-0.0286,-0.9999,0.0157,False
0,1200,0.2,0.028,-0.0026,-0.8057,-0.089,0.0157,0.9999,False
0,1300,0.2,0.0276,0.0461,0.0042,0.0578,0.9999,-0.0157,False
0,1400,0.2,0.041,-0.0185,0.8109,-0.0758,-0.0157,-0.9999,False
0,1500,0.2,0.033,-0.0597,0.0393,-0.0317,-0.9999,0.0157,False
0,1600,0.2,0.0285,-0.0031,-0.8012,-0.0887,0.0157,0.9999,False
0,1700,0.2,0.0278,0.0459,0.0032,0.0558,0.9999,-0.0157,False
0,1800,0.2,0.0409,-0.0185,0.8103,-0.0768,-0.0157,-0.9999,False
0,1900,0.2,0.033,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
0,2000,0.2,0.0285,-0.0031,-0.8014,-0.0885,0.0157,0.9999,False
0,2100,0.2,0.0279,0.0457,0.0027,0.0565,0.9999,-0.0157,False
0,2200,0.2,0.0411,-0.0187,0.8115,-0.0771,-0.0157,-0.9999,False
0,2300,0.2,0.0331,-0.0598,0.0388,-0.0317,-0.9999,0.0157,False
0,2400,0.2,0.0285,-0.0032,-0.8011,-0.0887,0.0157,0.9999,False
0,2500,0.2,0.0278,0.0459,0.003,0.0558,0.9999,-0.0157,False
0,2600,0.2,0.0409,-0.0185,0.8102,-0.0769,-0.0157,-0.9999,False
0,2700,0.2,0.033,-0.0597,0.0395,-0.0309,-0.9999,0.0157,False
0,2800,0.2,0.0285,-0.0031,-0.8014,-0.0886,0.0157,0.9999,False
0,2900,0.2,0.028,0.0457,0.0027,0.0565,0.9999,-0.0157,False
0,3000,0.2,0.0411,-0.0187,0.8115,-0.0771,-0.0157,-0.9999,False
0,3100,0.2,0.0331,-0.0598,0.0388,-0.0317,-0.9999,0.0157,False
0,3200,0.2,0.0285,-0.0032,-0.8012,-0.0887,0.0157,0.9999,False
0,3300,0.2,0.0278,0.0459,0.003,0.0558,0.9999,-0.0157,False
0,3400,0.2,0.0409,-0.0185,0.8102,-0.0769,-0.0157,-0.9999,False
0,3500,0.2,0.033,-0.0597,0.0395,-0.0309,-0.9999,0.0157,False
0,3600,0.2,0.0285,-0.0031,-0.8015,-0.0886,0.0157,0.9999,False
0,3700,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
0,3800,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
0,3900,0.2,0.033,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
0,4000,0.2,0.0285,-0.0031,-0.8015,-0.0885,0.0157,0.9999,False
0,4100,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
0,4200,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
0,4300,0.2,0.0329,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
0,4400,0.2,0.0285,-0.0031,-0.8016,-0.0885,0.0157,0.9999,False
0,4500,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
0,4600,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
0,4700,0.2,0.0329,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
0,4800,0.2,0.0285,-0.0031,-0.8016,-0.0885,0.0157,0.9999,False
0,4900,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
0,4999,0.2,0.041,-0.0169,0.8297,-0.0711,0.0,-1.0,False
1,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
1,100,0.2,0.0326,0.0227,-0.0126,0.0371,0.9999,-0.0157,False
1,200,0.2,0.0406,-0.0363,0.555,-0.0678,-0.0157,-0.9999,False
1,300,0.2,0.0365,-0.0654,-0.0065,-0.0159,-0.9999,0.0157,False
1,400,0.2,0.0323,0.0025,-0.8711,-0.0896,0.0157,0.9999,False
1,500,0.2,0.0307,0.0496,0.0094,0.0391,0.9999,-0.0157,False
1,600,0.2,0.0401,-0.0179,0.8252,-0.0878,-0.0157,-0.9999,False
1,700,0.2,0.032,-0.0604,0.044,-0.0276,-0.9999,0.0157,False
1,800,0.2,0.0282,-0.0051,-0.7864,-0.0831,0.0157,0.9999,False
1,900,0.2,0.0277,0.0454,-0.0011,0.056,0.9999,-0.0157,False
1,1000,0.2,0.0409,-0.0182,0.8059,-0.0759,-0.0157,-0.9999,False
1,1100,0.2,0.033,-0.0592,0.0394,-0.0317,-0.9999,0.0157,False
1,1200,0.2,0.0283,-0.0027,-0.8033,-0.0895,0.0157,0.9999,False
1,1300,0.2,0.0278,0.046,0.0039,0.057,0.9999,-0.0157,False
1,1400,0.2,0.041,-0.0186,0.8117,-0.0764,-0.0157,-0.9999,False
1,1500,0.2,0.0331,-0.0597,0.0391,-0.0316,-0.9999,0.0157,False
1,1600,0.2,0.0285,-0.0032,-0.8011,-0.0887,0.0157,0.9999,False
1,1700,0.2,0.0279,0.0459,0.0031,0.0557,0.9999,-0.0157,False
1,1800,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
1,1900,0.2,0.033,-0.0597,0.0394,-0.0309,-0.9999,0.0157,False
1,2000,0.2,0.0285,-0.0031,-0.8014,-0.0885,0.0157,0.9999,False
1,2100,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,2200,0.2,0.0409,-0.0185,0.8103,-0.0768,-0.0157,-0.9999,False
1,2300,0.2,0.0329,-0.0597,0.0394,-0.0309,-0.9999,0.0157,False
1,2400,0.2,0.0285,-0.0031,-0.8015,-0.0885,0.0157,0.9999,False
1,2500,0.2,0.0279,0.0457,0.0027,0.0565,0.9999,-0.0157,False
1,2600,0.2,0.0411,-0.0187,0.8115,-0.0771,-0.0157,-0.9999,False
1,2700,0.2,0.0331,-0.0598,0.0388,-0.0317,-0.9999,0.0157,False
1,2800,0.2,0.0285,-0.0032,-0.8012,-0.0887,0.0157,0.9999,False
1,2900,0.2,0.0278,0.0459,0.003,0.0558,0.9999,-0.0157,False
1,3000,0.2,0.0409,-0.0185,0.8102,-0.0769,-0.0157,-0.9999,False
1,3100,0.2,0.033,-0.0597,0.0395,-0.0309,-0.9999,0.0157,False
1,3200,0.2,0.0285,-0.0031,-0.8015,-0.0886,0.0157,0.9999,False
1,3300,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,3400,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
1,3500,0.2,0.033,-0.0597,0.0394,-0.0308,-0.9999,0.0157,False
1,3600,0.2,0.0285,-0.0031,-0.8015,-0.0885,0.0157,0.9999,False
1,3700,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,3800,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
1,3900,0.2,0.0329,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
1,4000,0.2,0.0285,-0.0031,-0.8015,-0.0885,0.0157,0.9999,False
1,4100,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,4200,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
1,4300,0.2,0.0329,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
1,4400,0.2,0.0285,-0.0031,-0.8016,-0.0885,0.0157,0.9999,False
1,4500,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,4600,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
1,4700,0.2,0.0329,-0.0597,0.0395,-0.0308,-0.9999,0.0157,False
1,4800,0.2,0.0285,-0.0031,-0.8016,-0.0885,0.0157,0.9999,False
1,4900,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
1,4999,0.2,0.041,-0.0169,0.8297,-0.0711,0.0,-1.0,False
2,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
2,100,0.2,0.0326,0.0227,-0.0126,0.0371,0.9999,-0.0157,False
2,200,0.2,0.0406,-0.0363,0.555,-0.0678,-0.0157,-0.9999,False
2,300,0.2,0.0365,-0.0654,-0.0065,-0.0159,-0.9999,0.0157,False
2,400,0.2,0.0323,0.0025,-0.8711,-0.0896,0.0157,0.9999,False
2,500,0.2,0.0307,0.0496,0.0094,0.0391,0.9999,-0.0157,False
2,600,0.2,0.0401,-0.0179,0.8252,-0.0878,-0.0157,-0.9999,False
2,700,0.2,0.032,-0.0604,0.044,-0.0276,-0.9999,0.0157,False
2,800,0.2,0.0282,-0.0051,-0.7864,-0.0831,0.0157,0.9999,False
2,900,0.2,0.0277,0.0454,-0.0011,0.056,0.9999,-0.0157,False
2,1000,0.2,0.0409,-0.0182,0.8059,-0.0759,-0.0157,-0.9999,False
2,1100,0.2,0.033,-0.0592,0.0394,-0.0317,-0.9999,0.0157,False
2,1200,0.2,0.0283,-0.0027,-0.8033,-0.0895,0.0157,0.9999,False
2,1300,0.2,0.0278,0.046,0.0039,0.057,0.9999,-0.0157,False
2,1400,0.2,0.041,-0.0186,0.8117,-0.0764,-0.0157,-0.9999,False
2,1500,0.2,0.0331,-0.0597,0.0391,-0.0316,-0.9999,0.0157,False
2,1600,0.2,0.0285,-0.0032,-0.8011,-0.0887,0.0157,0.9999,False
2,1700,0.2,0.0279,0.0459,0.0031,0.0557,0.9999,-0.0157,False
2,1800,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
2,1900,0.2,0.033,-0.0597,0.0394,-0.0309,-0.9999,0.0157,False
2,2000,0.2,0.0285,-0.0031,-0.8014,-0.0885,0.0157,0.9999,False
2,2100,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
2,2200,0.2,0.0409,-0.0185,0.8103,-0.0768,-0.0157,-0.9999,False
2,2300,0.2,0.0329,-0.0597,0.0394,-0.0309,-0.9999,0.0157,False
2,2400,0.2,0.0285,-0.0031,-0.8015,-0.0885,0.0157,0.9999,False
2,2500,0.2,0.0279,0.0457,0.0027,0.0565,0.9999,-0.0157,False
2,2600,0.2,0.0411,-0.0187,0.8115,-0.0771,-0.0157,-0.9999,False
2,2700,0.2,0.0331,-0.0598,0.0388,-0.0317,-0.9999,0.0157,False
2,2800,0.2,0.0285,-0.0032,-0.8012,-0.0887,0.0157,0.9999,False
2,2900,0.2,0.0278,0.0459,0.003,0.0558,0.9999,-0.0157,False
2,3000,0.2,0.0409,-0.0185,0.8102,-0.0769,-0.0157,-0.9999,False
2,3100,0.2,0.033,-0.0597,0.0395,-0.0309,-0.9999,0.0157,False
2,3200,0.2,0.0285,-0.0031,-0.8015,-0.0886,0.0157,0.9999,False
2,3300,0.2,0.0278,0.0459,0.0032,0.0556,0.9999,-0.0157,False
2,3400,0.2,0.0409,-0.0185,0.8103,-0.0769,-0.0157,-0.9999,False
