episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,b,fall,3.274
1,0.2,b,fall,9.232
2,0.2,b,fall,5.718
3,0.2,b,timeout,10.0
4,0.2,b,fall,3.258
5,0.4,b,fall,4.458
6,0.4,b,fall,2.276
7,0.4,b,fall,4.754
8,0.4,b,fall,3.136
9,0.4,b,fall,4.806
10,0.6,b,fall,2.838
11,0.6,b,fall,2.182
12,0.6,b,fall,3.796
13,0.6,b,timeout,10.0
14,0.6,b,fall,1.688
15,0.8,b,fall,2.63
16,0.8,b,fall,1.618
17,0.8,b,timeout,10.0
18,0.8,b,fall,1.418
19,0.8,b,fall,2.388
20,1.0,b,fall,2.304
21,1.0,b,fall,2.934
22,1.0,b,fall,2.136
23,1.0,b,fall,1.538
24,1.0,b,fall,1.84
25,1.2,b,fall,1.46
26,1.2,b,timeout,10.0
27,1.2,b,fall,1.108
28,1.2,b,fall,2.294
29,1.2,b,fall,2.08
30,1.4,b,fall,1.304
31,1.4,b,fall,1.388
32,1.4,b,fall,1.346
33,1.4,b,fall,2.118
34,1.4,b,fall,1.702
35,1.6,b,fall,5.318
36,1.6,b,fall,0.886
37,1.6,b,fall,1.046
38,1.6,b,fall,2.24
39,1.6,b,fall,1.796
40,1.8,b,fall,1.86
41,1.8,b,fall,1.33
42,1.8,b,timeout,10.0
43,1.8,b,fall,1.998
44,1.8,b,fall,1.702
45,2.0,b,fall,1.508
46,2.0,b,fall,2.496
47,2.0,b,fall,2.87
48,2.0,b,fall,1.68
49,2.0,b,fall,2.842
50,2.2,b,fall,0.968
51,2.2,b,fall,1.128
52,2.2,b,fall,1.718
53,2.2,b,fall,2.556
54,2.2,b,fall,3.47
55,2.4,b,fall,2.4
56,2.4,b,fall,5.306
57,2.4,b,fall,2.336
58,2.4,b,fall,1.208
59,2.4,b,fall,1.804
60,2.6,b,fall,3.556
61,2.6,b,fall,1.982
62,2.6,b,fall,1.61
63,2.6,b,fall,1.066
64,2.6,b,fall,0.84
65,2.8,b,fall,2.696
66,2.8,b,fall,6.496
67,2.8,b,fall,2.414
68,2.8,b,fall,2.794
69,2.8,b,fall,1.866
70,3.0,b,fall,1.758
71,3.0,b,fall,1.14
72,3.0,b,fall,0.534
73,3.0,b,fall,0.978
74,3.0,b,fall,0.93
