episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,f,fall,2.59
1,0.2,f,fall,3.27
2,0.2,f,fall,4.23
3,0.2,f,fall,3.408
4,0.2,f,fall,3.416
5,0.4,f,fall,2.382
6,0.4,f,fall,2.404
7,0.4,f,fall,2.5
8,0.4,f,fall,2.31
9,0.4,f,fall,1.682
10,0.6,f,fall,4.288
11,0.6,f,fall,2.672
12,0.6,f,fall,1.55
13,0.6,f,fall,3.54
14,0.6,f,fall,2.376
15,0.8,f,timeout,10.0
16,0.8,f,fall,1.412
17,0.8,f,fall,4.172
18,0.8,f,fall,2.128
19,0.8,f,fall,1.74
20,1.0,f,fall,3.86
21,1.0,f,fall,2.8
22,1.0,f,fall,1.87
23,1.0,f,fall,1.128
24,1.0,f,fall,1.572
25,1.2,f,fall,5.038
26,1.2,f,fall,1.532
27,1.2,f,fall,3.978
28,1.2,f,fall,2.194
29,1.2,f,fall,5.38
30,1.4,f,fall,2.238
31,1.4,f,fall,1.984
32,1.4,f,timeout,10.0
33,1.4,f,timeout,10.0
34,1.4,f,timeout,10.0
35,1.6,f,timeout,10.0
36,1.6,f,timeout,10.0
37,1.6,f,timeout,10.0
38,1.6,f,timeout,10.0
39,1.6,f,timeout,10.0
40,1.8,f,timeout,10.0
41,1.8,f,timeout,10.0
42,1.8,f,timeout,10.0
43,1.8,f,timeout,10.0
44,1.8,f,timeout,10.0
45,2.0,f,timeout,10.0
46,2.0,f,timeout,10.0
47,2.0,f,timeout,10.0
48,2.0,f,timeout,10.0
49,2.0,f,timeout,10.0
50,2.2,f,timeout,10.0
51,2.2,f,timeout,10.0
52,2.2,f,fall,1.524
53,2.2,f,fall,2.22
54,2.2,f,fall,9.592
55,2.4,f,fall,2.1
56,2.4,f,fall,4.294
57,2.4,f,fall,2.334
58,2.4,f,fall,2.892
59,2.4,f,fall,1.856
60,2.6,f,fall,5.086
61,2.6,f,fall,3.078
62,2.6,f,fall,1.758
63,2.6,f,fall,3.426
64,2.6,f,fall,1.072
65,2.8,f,fall,1.1
66,2.8,f,fall,1.72
67,2.8,f,fall,1.648
68,2.8,f,fall,1.612
69,2.8,f,fall,2.418
70,3.0,f,fall,1.236
71,3.0,f,fall,4.168
72,3.0,f,fall,1.176
73,3.0,f,fall,1.518
74,3.0,f,fall,1.27
