episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,l,fall,3.422
1,0.2,l,fall,1.588
2,0.2,l,fall,2.724
3,0.2,l,fall,1.656
4,0.2,l,fall,3.038
5,0.4,l,fall,9.276
6,0.4,l,fall,1.8
7,0.4,l,fall,1.494
8,0.4,l,timeout,10.0
9,0.4,l,fall,6.612
10,0.6,l,timeout,10.0
11,0.6,l,fall,2.038
12,0.6,l,fall,2.156
13,0.6,l,fall,1.478
14,0.6,l,fall,3.61
15,0.8,l,fall,3.676
16,0.8,l,fall,5.362
17,0.8,l,timeout,10.0
18,0.8,l,fall,1.248
19,0.8,l,fall,2.786
20,1.0,l,timeout,10.0
21,1.0,l,fall,1.152
22,1.0,l,fall,3.542
23,1.0,l,fall,4.914
24,1.0,l,fall,1.878
25,1.2,l,fall,1.072
26,1.2,l,fall,2.416
27,1.2,l,fall,1.134
28,1.2,l,fall,1.434
29,1.2,l,fall,3.29
30,1.4,l,fall,3.622
31,1.4,l,timeout,10.0
32,1.4,l,fall,1.162
33,1.4,l,fall,4.652
34,1.4,l,fall,1.376
35,1.6,l,timeout,10.0
36,1.6,l,fall,1.096
37,1.6,l,fall,1.21
38,1.6,l,fall,2.532
39,1.6,l,fall,2.296
40,1.8,l,fall,1.21
41,1.8,l,fall,1.76
42,1.8,l,fall,2.776
43,1.8,l,fall,1.198
44,1.8,l,fall,3.904
45,2.0,l,fall,2.142
46,2.0,l,fall,2.066
47,2.0,l,fall,1.47
48,2.0,l,fall,2.24
49,2.0,l,fall,6.04
50,2.2,l,fall,1.568
51,2.2,l,fall,2.512
52,2.2,l,fall,2.206
53,2.2,l,fall,1.84
54,2.2,l,fall,1.37
55,2.4,l,fall,1.16
56,2.4,l,fall,1.066
57,2.4,l,fall,1.914
58,2.4,l,fall,1.244
59,2.4,l,fall,0.918
60,2.6,l,fall,0.946
61,2.6,l,fall,1.332
62,2.6,l,fall,2.638
63,2.6,l,fall,1.102
64,2.6,l,fall,1.054
65,2.8,l,fall,0.944
66,2.8,l,fall,3.118
67,2.8,l,fall,1.51
68,2.8,l,fall,1.104
69,2.8,l,fall,2.05
70,3.0,l,fall,3.428
71,3.0,l,fall,1.128
72,3.0,l,fall,1.37
73,3.0,l,fall,1.182
74,3.0,l,fall,1.27
