episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,b,timeout,10.0
1,0.2,b,timeout,10.0
2,0.2,b,fall,7.942
3,0.2,b,timeout,10.0
4,0.2,b,timeout,10.0
5,0.4,b,timeout,10.0
6,0.4,b,timeout,10.0
7,0.4,b,timeout,10.0
8,0.4,b,fall,6.852
9,0.4,b,timeout,10.0
10,0.6,b,timeout,10.0
11,0.6,b,fall,2.856
12,0.6,b,fall,1.594
13,0.6,b,fall,2.326
14,0.6,b,timeout,10.0
15,0.8,b,timeout,10.0
16,0.8,b,fall,9.24
17,0.8,b,fall,2.174
18,0.8,b,timeout,10.0
19,0.8,b,fall,5.128
20,1.0,b,fall,4.688
21,1.0,b,timeout,10.0
22,1.0,b,fall,8.936
23,1.0,b,timeout,10.0
24,1.0,b,fall,5.228
25,1.2,b,fall,1.384
26,1.2,b,timeout,10.0
27,1.2,b,timeout,10.0
28,1.2,b,fall,1.8
29,1.2,b,timeout,10.0
30,1.4,b,timeout,10.0
31,1.4,b,timeout,10.0
32,1.4,b,fall,2.372
33,1.4,b,fall,6.794
34,1.4,b,fall,9.298
35,1.6,b,fall,5.462
36,1.6,b,timeout,10.0
37,1.6,b,timeout,10.0
38,1.6,b,timeout,10.0
39,1.6,b,timeout,10.0
40,1.8,b,timeout,10.0
41,1.8,b,fall,4.726
42,1.8,b,timeout,10.0
43,1.8,b,timeout,10.0
44,1.8,b,fall,4.704
45,2.0,b,fall,5.638
46,2.0,b,timeout,10.0
47,2.0,b,timeout,10.0
48,2.0,b,timeout,10.0
49,2.0,b,fall,4.978
50,2.2,b,timeout,10.0
51,2.2,b,fall,3.996
52,2.2,b,fall,3.712
53,2.2,b,fall,4.166
54,2.2,b,fall,2.644
55,2.4,b,fall,3.8
56,2.4,b,fall,6.198
57,2.4,b,fall,3.752
58,2.4,b,fall,5.57
59,2.4,b,fall,5.324
60,2.6,b,fall,2.608
61,2.6,b,fall,2.36
62,2.6,b,fall,3.168
63,2.6,b,fall,0.866
64,2.6,b,fall,1.086
65,2.8,b,fall,2.072
66,2.8,b,fall,1.498
67,2.8,b,fall,1.852
68,2.8,b,fall,3.574
69,2.8,b,fall,2.36
70,3.0,b,fall,2.908
71,3.0,b,fall,1.36
72,3.0,b,fall,2.916
73,3.0,b,fall,1.106
74,3.0,b,fall,0.626
