episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,f,fall,7.174
1,0.2,f,fall,3.818
2,0.2,f,fall,8.8
3,0.2,f,timeout,10.0
4,0.2,f,timeout,10.0
5,0.4,f,timeout,10.0
6,0.4,f,timeout,10.0
7,0.4,f,timeout,10.0
8,0.4,f,timeout,10.0
9,0.4,f,timeout,10.0
10,0.6,f,timeout,10.0
11,0.6,f,timeout,10.0
12,0.6,f,fall,4.544
13,0.6,f,timeout,10.0
14,0.6,f,fall,8.544
15,0.8,f,timeout,10.0
16,0.8,f,timeout,10.0
17,0.8,f,fall,2.714
18,0.8,f,fall,9.992
19,0.8,f,timeout,10.0
20,1.0,f,timeout,10.0
21,1.0,f,timeout,10.0
22,1.0,f,fall,2.13
23,1.0,f,fall,2.19
24,1.0,f,timeout,10.0
25,1.2,f,timeout,10.0
26,1.2,f,fall,1.8
27,1.2,f,fall,3.85
28,1.2,f,timeout,10.0
29,1.2,f,timeout,10.0
30,1.4,f,timeout,10.0
31,1.4,f,timeout,10.0
32,1.4,f,timeout,10.0
33,1.4,f,fall,4.908
34,1.4,f,timeout,10.0
35,1.6,f,timeout,10.0
36,1.6,f,fall,6.002
37,1.6,f,timeout,10.0
38,1.6,f,fall,3.18
39,1.6,f,fall,2.022
40,1.8,f,fall,4.734
41,1.8,f,timeout,10.0
42,1.8,f,timeout,10.0
43,1.8,f,timeout,10.0
44,1.8,f,fall,4.14
45,2.0,f,fall,1.756
46,2.0,f,timeout,10.0
47,2.0,f,timeout,10.0
48,2.0,f,fall,4.224
49,2.0,f,fall,2.182
50,2.2,f,fall,1.25
51,2.2,f,fall,1.33
52,2.2,f,fall,6.964
53,2.2,f,fall,6.842
54,2.2,f,fall,1.084
55,2.4,f,fall,1.274
56,2.4,f,timeout,10.0
57,2.4,f,fall,4.472
58,2.4,f,fall,7.484
59,2.4,f,fall,1.184
60,2.6,f,fall,1.33
61,2.6,f,fall,1.212
62,2.6,f,fall,2.718
63,2.6,f,fall,3.92
64,2.6,f,fall,2.096
65,2.8,f,fall,2.162
66,2.8,f,fall,2.068
67,2.8,f,fall,1.928
68,2.8,f,fall,3.61
69,2.8,f,fall,1.16
70,3.0,f,fall,1.238
71,3.0,f,fall,1.358
72,3.0,f,fall,2.652
73,3.0,f,fall,2.966
74,3.0,f,fall,3.552
