episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,l,fall,4.252
1,0.2,l,timeout,10.0
2,0.2,l,fall,5.068
3,0.2,l,timeout,10.0
4,0.2,l,fall,5.066
5,0.4,l,timeout,10.0
6,0.4,l,fall,2.758
7,0.4,l,fall,7.182
8,0.4,l,fall,1.818
9,0.4,l,timeout,10.0
10,0.6,l,fall,2.728
11,0.6,l,fall,7.478
12,0.6,l,timeout,10.0
13,0.6,l,fall,8.678
14,0.6,l,timeout,10.0
15,0.8,l,fall,1.61
16,0.8,l,fall,2.734
17,0.8,l,fall,2.856
18,0.8,l,fall,7.256
19,0.8,l,timeout,10.0
20,1.0,l,fall,1.452
21,1.0,l,timeout,10.0
22,1.0,l,timeout,10.0
23,1.0,l,fall,1.584
24,1.0,l,fall,2.684
25,1.2,l,fall,3.514
26,1.2,l,timeout,10.0
27,1.2,l,timeout,10.0
28,1.2,l,fall,2.11
29,1.2,l,timeout,10.0
30,1.4,l,fall,2.61
31,1.4,l,fall,2.024
32,1.4,l,fall,3.7
33,1.4,l,timeout,10.0
34,1.4,l,fall,1.908
35,1.6,l,fall,2.658
36,1.6,l,fall,4.386
37,1.6,l,fall,8.836
38,1.6,l,timeout,10.0
39,1.6,l,timeout,10.0
40,1.8,l,timeout,10.0
41,1.8,l,fall,2.244
42,1.8,l,timeout,10.0
43,1.8,l,fall,2.012
44,1.8,l,timeout,10.0
45,2.0,l,fall,1.654
46,2.0,l,timeout,10.0
47,2.0,l,fall,2.282
48,2.0,l,fall,2.736
49,2.0,l,fall,5.204
50,2.2,l,fall,3.64
51,2.2,l,fall,0.786
52,2.2,l,fall,1.654
53,2.2,l,fall,2.524
54,2.2,l,fall,1.882
55,2.4,l,fall,1.988
56,2.4,l,fall,1.89
57,2.4,l,fall,1.262
58,2.4,l,fall,2.222
59,2.4,l,timeout,10.0
60,2.6,l,fall,4.406
61,2.6,l,fall,0.826
62,2.6,l,fall,2.054
63,2.6,l,fall,0.638
64,2.6,l,fall,1.812
65,2.8,l,fall,1.04
66,2.8,l,fall,0.98
67,2.8,l,fall,2.2
68,2.8,l,fall,1.218
69,2.8,l,fall,1.006
70,3.0,l,fall,1.97
71,3.0,l,fall,1.374
72,3.0,l,fall,0.816
73,3.0,l,fall,1.234
74,3.0,l,fall,0.854
