episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,forward,timeout,10.0
1,0.2,forward,timeout,10.0
2,0.2,forward,timeout,10.0
3,0.2,forward,timeout,10.0
4,0.2,forward,timeout,10.0
5,0.4,forward,timeout,10.0
6,0.4,forward,timeout,10.0
7,0.4,forward,timeout,10.0
8,0.4,forward,timeout,10.0
9,0.4,forward,timeout,10.0
10,0.6,forward,timeout,10.0
11,0.6,forward,timeout,10.0
12,0.6,forward,timeout,10.0
13,0.6,forward,timeout,10.0
14,0.6,forward,timeout,10.0
15,0.8,forward,timeout,10.0
16,0.8,forward,timeout,10.0
17,0.8,forward,timeout,10.0
18,0.8,forward,timeout,10.0
19,0.8,forward,timeout,10.0
20,1.0,forward,timeout,10.0
21,1.0,forward,timeout,10.0
22,1.0,forward,timeout,10.0
23,1.0,forward,timeout,10.0
24,1.0,forward,timeout,10.0
25,1.2,forward,timeout,10.0
26,1.2,forward,timeout,10.0
27,1.2,forward,timeout,10.0
28,1.2,forward,timeout,10.0
29,1.2,forward,timeout,10.0
30,1.4,forward,timeout,10.0
31,1.4,forward,timeout,10.0
32,1.4,forward,timeout,10.0
33,1.4,forward,timeout,10.0
34,1.4,forward,timeout,10.0
35,1.6,forward,timeout,10.0
36,1.6,forward,timeout,10.0
37,1.6,forward,timeout,10.0
38,1.6,forward,timeout,10.0
39,1.6,forward,timeout,10.0
40,1.8,forward,timeout,10.0
41,1.8,forward,timeout,10.0
42,1.8,forward,timeout,10.0
43,1.8,forward,timeout,10.0
44,1.8,forward,timeout,10.0
45,2.0,forward,fall,8.992
46,2.0,forward,fall,7.888
47,2.0,forward,fall,8.544
48,2.0,forward,fall,7.22
49,2.0,forward,timeout,10.0
50,2.2,forward,fall,5.788
51,2.2,forward,fall,7.952
52,2.2,forward,fall,1.296
53,2.2,forward,fall,8.606
54,2.2,forward,fall,5.89
55,2.4,forward,fall,5.202
56,2.4,forward,fall,6.472
57,2.4,forward,timeout,10.0
58,2.4,forward,fall,6.53
59,2.4,forward,fall,1.212
60,2.6,forward,fall,3.632
61,2.6,forward,fall,1.892
62,2.6,forward,timeout,10.0
63,2.6,forward,fall,2.764
64,2.6,forward,timeout,10.0
65,2.8,forward,fall,1.772
66,2.8,forward,fall,5.118
67,2.8,forward,fall,1.72
68,2.8,forward,fall,1.194
69,2.8,forward,fall,3.984
70,3.0,forward,fall,1.672
71,3.0,forward,fall,1.316
72,3.0,forward,fall,1.82
73,3.0,forward,fall,2.064
74,3.0,forward,fall,3.502
