episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,forward,timeout,10.0
1,0.2,forward,timeout,10.0
2,0.2,forward,timeout,10.0
3,0.2,forward,timeout,10.0
4,0.2,forward,timeout,10.0
5,0.4,forward,timeout,10.0
6,0.4,forward,timeout,10.0
7,0.4,forward,timeout,10.0
8,0.4,forward,timeout,10.0
9,0.4,forward,timeout,10.0
10,0.6,forward,timeout,10.0
11,0.6,forward,timeout,10.0
12,0.6,forward,timeout,10.0
13,0.6,forward,timeout,10.0
14,0.6,forward,timeout,10.0
15,0.8,forward,fall,8.71
16,0.8,forward,timeout,10.0
17,0.8,forward,fall,8.644
18,0.8,forward,timeout,10.0
19,0.8,forward,fall,8.594
20,1.0,forward,fall,2.116
21,1.0,forward,fall,7.062
22,1.0,forward,timeout,10.0
23,1.0,forward,fall,8.288
24,1.0,forward,fall,7.31
25,1.2,forward,timeout,10.0
26,1.2,forward,fall,6.772
27,1.2,forward,timeout,10.0
28,1.2,forward,fall,6.688
29,1.2,forward,fall,1.758
30,1.4,forward,fall,5.282
31,1.4,forward,timeout,10.0
32,1.4,forward,fall,5.276
33,1.4,forward,fall,6.08
34,1.4,forward,fall,6.082
35,1.6,forward,fall,5.332
36,1.6,forward,fall,8.14
37,1.6,forward,timeout,10.0
38,1.6,forward,fall,4.938
39,1.6,forward,timeout,10.0
40,1.8,forward,timeout,10.0
41,1.8,forward,timeout,10.0
42,1.8,forward,timeout,10.0
43,1.8,forward,timeout,10.0
44,1.8,forward,timeout,10.0
45,2.0,forward,fall,4.61
46,2.0,forward,timeout,10.0
47,2.0,forward,fall,4.64
48,2.0,forward,fall,2.236
49,2.0,forward,timeout,10.0
50,2.2,forward,fall,4.722
51,2.2,forward,timeout,10.0
52,2.2,forward,fall,4.83
53,2.2,forward,fall,4.158
54,2.2,forward,fall,2.144
55,2.4,forward,fall,1.946
56,2.4,forward,fall,4.73
57,2.4,forward,fall,3.628
58,2.4,forward,timeout,10.0
59,2.4,forward,fall,4.228
60,2.6,forward,fall,4.466
61,2.6,forward,fall,2.522
62,2.6,forward,fall,4.304
63,2.6,forward,fall,5.158
64,2.6,forward,fall,3.618
65,2.8,forward,fall,4.32
66,2.8,forward,timeout,10.0
67,2.8,forward,fall,4.164
68,2.8,forward,fall,4.066
69,2.8,forward,fall,3.258
70,3.0,forward,fall,2.784
71,3.0,forward,fall,1.914
72,3.0,forward,fall,2.106
73,3.0,forward,fall,4.574
74,3.0,forward,fall,2.776
