episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,b,fall,7.854
1,0.2,b,timeout,10.0
2,0.2,b,fall,7.894
3,0.2,b,timeout,10.0
4,0.2,b,fall,7.894
5,0.4,b,fall,7.886
6,0.4,b,fall,6.118
7,0.4,b,timeout,10.0
8,0.4,b,fall,6.146
9,0.4,b,timeout,10.0
10,0.6,b,fall,3.0
11,0.6,b,fall,5.272
12,0.6,b,timeout,10.0
13,0.6,b,fall,3.904
14,0.6,b,timeout,10.0
15,0.8,b,fall,3.254
16,0.8,b,fall,4.072
17,0.8,b,timeout,10.0
18,0.8,b,fall,2.788
19,0.8,b,fall,2.892
20,1.0,b,fall,2.466
21,1.0,b,fall,7.216
22,1.0,b,fall,4.518
23,1.0,b,timeout,10.0
24,1.0,b,fall,3.124
25,1.2,b,fall,3.56
26,1.2,b,fall,4.184
27,1.2,b,timeout,10.0
28,1.2,b,timeout,10.0
29,1.2,b,fall,1.242
30,1.4,b,timeout,10.0
31,1.4,b,timeout,10.0
32,1.4,b,fall,0.982
33,1.4,b,fall,1.528
34,1.4,b,fall,1.602
35,1.6,b,fall,5.276
36,1.6,b,fall,2.874
37,1.6,b,fall,3.004
38,1.6,b,fall,8.972
39,1.6,b,timeout,10.0
40,1.8,b,fall,2.296
41,1.8,b,fall,4.294
42,1.8,b,fall,3.862
43,1.8,b,fall,3.936
44,1.8,b,timeout,10.0
45,2.0,b,fall,6.082
46,2.0,b,fall,6.012
47,2.0,b,fall,1.522
48,2.0,b,fall,1.522
49,2.0,b,fall,1.014
50,2.2,b,fall,3.088
51,2.2,b,fall,0.86
52,2.2,b,fall,2.206
53,2.2,b,timeout,10.0
54,2.2,b,timeout,10.0
55,2.4,b,timeout,10.0
56,2.4,b,fall,2.326
57,2.4,b,timeout,10.0
58,2.4,b,fall,2.352
59,2.4,b,fall,6.016
60,2.6,b,fall,2.488
61,2.6,b,fall,8.896
62,2.6,b,fall,7.658
63,2.6,b,fall,9.024
64,2.6,b,timeout,10.0
65,2.8,b,fall,3.776
66,2.8,b,fall,3.624
67,2.8,b,fall,3.328
68,2.8,b,fall,3.262
69,2.8,b,fall,6.966
70,3.0,b,fall,1.544
71,3.0,b,fall,1.074
72,3.0,b,fall,0.592
73,3.0,b,fall,3.916
74,3.0,b,fall,2.526
