episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,f,fall,6.626
1,0.2,f,timeout,10.0
2,0.2,f,fall,9.252
3,0.2,f,fall,8.99
4,0.2,f,fall,7.608
5,0.4,f,timeout,10.0
6,0.4,f,fall,5.402
7,0.4,f,fall,4.182
8,0.4,f,fall,7.744
9,0.4,f,timeout,10.0
10,0.6,f,timeout,10.0
11,0.6,f,timeout,10.0
12,0.6,f,timeout,10.0
13,0.6,f,fall,1.466
14,0.6,f,fall,1.818
15,0.8,f,timeout,10.0
16,0.8,f,fall,2.784
17,0.8,f,fall,9.63
18,0.8,f,fall,5.948
19,0.8,f,fall,7.168
20,1.0,f,timeout,10.0
21,1.0,f,fall,4.054
22,1.0,f,timeout,10.0
23,1.0,f,timeout,10.0
24,1.0,f,timeout,10.0
25,1.2,f,fall,6.106
26,1.2,f,fall,1.094
27,1.2,f,fall,6.976
28,1.2,f,timeout,10.0
29,1.2,f,fall,8.162
30,1.4,f,fall,1.082
31,1.4,f,fall,7.138
32,1.4,f,timeout,10.0
33,1.4,f,timeout,10.0
34,1.4,f,timeout,10.0
35,1.6,f,fall,2.824
36,1.6,f,fall,2.88
37,1.6,f,timeout,10.0
38,1.6,f,fall,4.95
39,1.6,f,timeout,10.0
40,1.8,f,timeout,10.0
41,1.8,f,timeout,10.0
42,1.8,f,fall,4.166
43,1.8,f,timeout,10.0
44,1.8,f,timeout,10.0
45,2.0,f,fall,3.67
46,2.0,f,fall,1.908
47,2.0,f,fall,1.874
48,2.0,f,fall,1.346
49,2.0,f,timeout,10.0
50,2.2,f,fall,4.044
51,2.2,f,fall,3.528
52,2.2,f,timeout,10.0
53,2.2,f,fall,5.034
54,2.2,f,fall,1.398
55,2.4,f,fall,2.764
56,2.4,f,fall,2.604
57,2.4,f,fall,1.724
58,2.4,f,fall,1.55
59,2.4,f,fall,5.926
60,2.6,f,fall,1.92
61,2.6,f,fall,1.482
62,2.6,f,timeout,10.0
63,2.6,f,fall,0.82
64,2.6,f,fall,1.316
65,2.8,f,fall,1.376
66,2.8,f,fall,1.682
67,2.8,f,fall,3.022
68,2.8,f,fall,1.992
69,2.8,f,timeout,10.0
70,3.0,f,fall,1.472
71,3.0,f,timeout,10.0
72,3.0,f,fall,5.34
73,3.0,f,timeout,10.0
74,3.0,f,fall,1.34
