episode_id,commanded_vx,direction,outcome,survival_time_s
0,0.2,l,fall,9.072
1,0.2,l,timeout,10.0
2,0.2,l,timeout,10.0
3,0.2,l,timeout,10.0
4,0.2,l,fall,9.93
5,0.4,l,fall,1.638
6,0.4,l,fall,4.77
7,0.4,l,timeout,10.0
8,0.4,l,fall,4.948
9,0.4,l,fall,6.03
10,0.6,l,fall,8.47
11,0.6,l,timeout,10.0
12,0.6,l,fall,3.324
13,0.6,l,fall,8.432
14,0.6,l,fall,4.664
15,0.8,l,fall,5.946
16,0.8,l,fall,3.754
17,0.8,l,fall,4.32
18,0.8,l,fall,3.714
19,0.8,l,fall,7.63
20,1.0,l,fall,2.38
21,1.0,l,fall,3.614
22,1.0,l,timeout,10.0
23,1.0,l,fall,2.772
24,1.0,l,fall,1.768
25,1.2,l,timeout,10.0
26,1.2,l,timeout,10.0
27,1.2,l,fall,3.366
28,1.2,l,timeout,10.0
29,1.2,l,fall,5.118
30,1.4,l,fall,3.05
31,1.4,l,fall,5.668
32,1.4,l,timeout,10.0
33,1.4,l,fall,6.696
34,1.4,l,timeout,10.0
35,1.6,l,fall,1.646
36,1.6,l,fall,3.248
37,1.6,l,timeout,10.0
38,1.6,l,fall,2.282
39,1.6,l,fall,3.166
40,1.8,l,fall,5.706
41,1.8,l,fall,0.936
42,1.8,l,fall,3.422
43,1.8,l,fall,1.206
44,1.8,l,timeout,10.0
45,2.0,l,timeout,10.0
46,2.0,l,fall,2.35
47,2.0,l,fall,3.432
48,2.0,l,timeout,10.0
49,2.0,l,fall,1.77
50,2.2,l,timeout,10.0
51,2.2,l,timeout,10.0
52,2.2,l,fall,1.728
53,2.2,l,fall,1.498
54,2.2,l,fall,1.728
55,2.4,l,fall,2.654
56,2.4,l,fall,8.174
57,2.4,l,fall,1.992
58,2.4,l,fall,2.176
59,2.4,l,fall,2.734
60,2.6,l,fall,2.024
61,2.6,l,fall,3.832
62,2.6,l,fall,1.58
63,2.6,l,fall,1.508
64,2.6,l,fall,1.178
65,2.8,l,fall,1.334
66,2.8,l,fall,1.752
67,2.8,l,fall,1.468
68,2.8,l,fall,3.054
69,2.8,l,fall,2.19
70,3.0,l,fall,1.004
71,3.0,l,fall,1.012
72,3.0,l,fall,1.114
73,3.0,l,fall,0.778
74,3.0,l,fall,1.29
